CaseID,CreationTimestamp,Department,Category,Type,Detail,StreetAddress,Neighborhood,County,ZipCode,Latitude,Longitude,Status,ClosedDate,ExceededEstimatedTimeframe
C2020149677,2020-11-25T18:39:00Z,NHS,Trash / Recycling,Nuisance,Open Storage,3433 Holmes St,North Hyde Park,Jackson,64109.0,39.064579,-94.575951,RESOL,2020-12-01,N
C2020131202,2020-10-02T17:23:00Z,NHS,Property / Buildings / Construction,Property Maintenance,Other Property Issue,4216 E Truman Rd,East Community Team North,Jackson,64127.0,39.094498,-94.532335,RESOL,2020-10-08,N
C2020120390,2020-09-04T15:57:00Z,Public Works,Mowing / Weeds,Visibility,Intersection,6200 NE Cookingham Dr,Shoal Creek,Clay,64156.0,39.304078,-94.504491,RESOL,2020-09-17,Y
C2009066472,2009-03-18T08:41:00Z,NHS,Bulky Appointment,08,All,10925 Bales Ave,,,64137.0,35.797519,-103.890579,RESOL,2009-04-09,N
C2020120388,2020-09-04T15:54:00Z,Water Services,Water,Leak,Hydrant,3107 Coleman Rd,Coleman Highlands,Jackson,64111.0,39.070161,-94.596688,RESOL,2020-09-09,Y
C2020117775,2020-08-31T13:11:00Z,NHS,Trash / Recycling,Services,Service Issue / Problem,1260 W 62nd St,Stratford Gardens,Jackson,64113.0,39.015548,-94.607393,RESOL,2020-09-02,Y
C2020087230,2020-06-24T12:15:00Z,NHS,Trash / Recycling,Dumping,Solid Waste Referral,611 NW 65th St,Tanglewood And Regency North,Clay,64118.0,39.211487,-94.588348,RESOL,2020-06-29,N
C2019185074,2019-10-26T06:13:00Z,NHS,Trash / Recycling,Recycling,Missed by City,5821 Bellefontaine Ave,North Town Fork Creek,Jackson,64130.0,39.020159,-94.549566,RESOL,2019-10-28,N
C2020087638,2020-06-25T08:02:00Z,Water Services,Water,Pipeline Referral,Restoration,808 W Meyer Blvd,Country Club District,Jackson,64113.0,39.012734,-94.599296,RESOL,2020-07-20,Y
C2019184886,2019-10-25T13:50:00Z,NHS,Trash / Recycling,Trash Collection,Missed by Contractor South,6424 Morningside Dr,Morningside,Jackson,64113.0,39.010891,-94.586577,RESOL,2019-10-28,N
C2019019884,2019-01-25T12:16:00Z,Public Works,Lights / Signals,Traffic Signal,Signal Malfunction,4987 Ward Pkwy,Sunset Hill,Jackson,64112.0,39.036514,-94.599513,RESOL,2019-02-05,Y
C2020031673,2020-03-02T15:20:00Z,Public Works,Signs,Street Name Signs,New Sign Request,2400 Troost Ave,Hospital Hill,Jackson,64108.0,39.083166,-94.572049,RESOL,2020-03-12,N
C2020010209,2020-01-23T12:57:00Z,Public Works,Streets / Roadways / Alleys,Pothole,District 1,4001 NE 80th St,Shoal Creek,Clay,64119.0,39.237983,-94.53148,RESOL,2020-02-11,Y
C2019185065,2019-10-25T20:44:00Z,NHS,Animals / Pets,Dead Animal,Curb,10800 N Congress Ave,KCI & 2nd Creek,Platte,64153.0,39.289533,-94.668716,RESOL,2019-10-29,Y
C2020040011,2020-03-17T15:42:00Z,Parks and Rec,Trees,Services,Service Issue / Problem,7800 N Olive St,Ridgefield,Clay,64118.0,39.234526,-94.551529,RESOL,2020-04-06,Y
C2020087787,2020-06-25T10:46:00Z,NHS,Trash / Recycling,Recycling,Missed by City,300 N Chelsea Ave,North Indian Mound,Jackson,64123.0,39.1146,-94.524734,RESOL,2020-06-26,N
C2020087852,2020-06-25T11:15:00Z,NHS,Property / Buildings / Construction,Property Maintenance,Main Structure,3505 E 25th St,Washington Wheatley,Jackson,64127.0,39.080129,-94.541614,RESOL,2020-06-26,N
C2020001460,2020-01-04T21:38:00Z,Health,Public Health,Noise,Music,5245 Garfield Ave,Blue Hills,Jackson,64130.0,39.030601,-94.560423,RESOL,2020-01-08,N
C2020131287,2020-10-04T14:46:00Z,NHS,Property / Buildings / Construction,Property Maintenance,Graffiti,4834 E 6th St,Lykins,Jackson,64124.0,39.1047,-94.523963,OPEN,,Y
C2019185080,2019-10-26T06:45:00Z,NHS,Trash / Recycling,Recycling,Missed by Contractor South,635 E 66th St,Oak Meyer Gardens,Jackson,64131.0,39.008071,-94.57969,RESOL,2019-10-29,N
C2020131294,2020-10-04T17:54:00Z,NHS,Property / Buildings / Construction,Property Maintenance,Main Structure,3515 Benton Blvd,Oak Park Northwest,Jackson,64128.0,39.061899,-94.545944,OPEN,,Y
C2020131295,2020-10-04T18:37:00Z,NHS,Property / Buildings / Construction,Property Maintenance,Graffiti,115 Main St,River Market,Jackson,64106.0,39.111753,-94.583349,OPEN,,Y
C2020131286,2020-10-04T14:43:00Z,City Managers Office,Public Safety,Police,Homeless Camp,11140 Locust St,Red Bridge South,Jackson,64131.0,38.92444,-94.586719,RESOL,2020-10-15,Y
C2020102849,2020-07-28T09:54:00Z,NHS,Animals / Pets,Dead Animal,Curb,6204 E 109th St,Stratford Estates,Jackson,64134.0,38.927537,-94.518343,RESOL,2020-07-29,N
C2020088019,2020-06-25T14:16:00Z,NHS,Trash / Recycling,Dumping,Right of Way Central,803 Utley Ave,North Blue Ridge,Jackson,64125.0,39.100527,-94.482352,RESOL,2020-06-26,N
C2020088075,2020-06-25T15:30:00Z,NHS,Property / Buildings / Construction,Dangerous Building,Open To Entry,324 N Wheeling Ave,North Indian Mound,Jackson,64123.0,39.114947,-94.510751,RESOL,2020-06-26,N
C2020149600,2020-11-25T15:21:00Z,NHS,Animals / Pets,Stray,At Large - Aggressive,8650 Ruskin Way,Ruskin Hills,Jackson,64134.0,38.919917,-94.49044,RESOL,2020-11-25,N
C2020149602,2020-11-25T15:24:00Z,KCPD,Vehicles / Parking,Abandoned On Street,Car,5800 Grand Ave,Brookside Park,Jackson,64113.0,39.022013,-94.585992,RESOL,2020-11-30,N
C2020102906,2020-07-28T10:55:00Z,NHS,Trees,Private Property,Tree Debris,3615 E 61st St,South Town Fork Creek,Jackson,64130.0,39.014913,-94.543592,RESOL,2020-08-14,Y
C2020019747,2020-02-10T08:37:00Z,Water Services,Water,Pipeline Referral,Restoration Issue,1016 NE 80th Ter,Jefferson Highlands,Clay,64118.0,39.240215,-94.567071,RESOL,2020-03-09,N
C2020019971,2020-02-10T10:59:00Z,Water Services,Water,Leak,At Curb / In Yard,8307 E 114th Ter,Ruskin Hills,Jackson,64134.0,38.91536,-94.49497,RESOL,2020-02-10,N
C2020088244,2020-06-26T07:35:00Z,NHS,Trash / Recycling,Trash Collection,Missed by Contractor North,4912 N Fremont Ave,Maple Park West,Clay,64119.0,39.182897,-94.505411,RESOL,2020-06-29,N
C2020088248,2020-06-26T07:37:00Z,Parks and Rec,Trees,Trimming,Tree Limbs,6 NE 101st Pl,Meadowbrook Heights,Clay,64155.0,39.278114,-94.579507,RESOL,2020-07-22,Y
C2020088257,2020-06-26T07:53:00Z,NHS,Property / Buildings / Construction,Property Maintenance,Main Structure,5844 Wayne Ave,Blue Hills,Jackson,64110.0,39.019893,-94.567549,RESOL,2020-06-26,N
C2019184853,2019-10-25T13:07:00Z,NHS,Trash / Recycling,Trash Collection,Missed by Contractor South,635 E 66th St,Oak Meyer Gardens,Jackson,64131.0,39.008071,-94.57969,RESOL,2019-10-26,N
C2020088263,2020-06-26T08:09:00Z,Water Services,Storm Water / Sewer,Sinkhole,Street,3722 Highland Ave,Linwood Homeowners-Ivanhoe,Jackson,64109.0,39.058399,-94.564169,RESOL,2020-07-29,Y
C2020103193,2020-07-28T16:26:00Z,Public Works,Streets / Roadways / Alleys,Speed Bump,Request New,9933 Charlotte St,Linden Hills And Indian Heights,Jackson,64131.0,38.946246,-94.579051,RESOL,2020-07-29,N
C2020088262,2020-06-26T08:09:00Z,NHS,Trash / Recycling,Recycling,Missed by City,6819 E 12th St,East Blue Valley,Jackson,64126.0,39.09702,-94.502241,RESOL,2020-06-29,N
C2019184736,2019-10-25T10:39:00Z,NHS,Trash / Recycling,Trash Collection,Missed by Contractor South,8043 Madison Ave,West Waldo,Jackson,64114.0,38.981934,-94.600174,RESOL,2019-10-28,N
C2019184810,2019-10-25T12:13:00Z,Parks and Rec,Trees,Trimming,Tree Limbs,1921 E 12th St,Forgotten Homes,Jackson,64127.0,39.098828,-94.558755,RESOL,2019-11-13,Y
C2019184789,2019-10-25T11:41:00Z,Parks and Rec,Trees,Trimming,Tree Limbs,10921 McKinley St,Ruskin Hills,Jackson,64134.0,38.925071,-94.488724,RESOL,2019-10-26,N
C2019184867,2019-10-25T13:27:00Z,Parks and Rec,Trees,Trimming,Block Pruning,6146 Kenwood Ave,Western 49-63,Jackson,64110.0,39.015265,-94.580576,RESOL,2019-11-21,Y
C2019184715,2019-10-25T10:15:00Z,Parks and Rec,Trees,Trimming,Tree Limbs,205 W 53rd Ter,Countryside,Jackson,64112.0,39.029904,-94.590438,RESOL,2019-12-04,Y
C2020020234,2020-02-10T14:02:00Z,Public Works,Lights / Signals,Street Light,2 to 4 Lights Out,10401 Oxford Ave,Hickman Mills South,Jackson,64134.0,38.933534,-94.474789,RESOL,2020-02-18,N
C2020131811,2020-10-05T16:46:00Z,NHS,Property / Buildings / Construction,Property Maintenance,Main Structure,3435 Main St,Broadway Gillham,Jackson,64111.0,39.064605,-94.585004,RESOL,2020-10-16,Y
C2020149425,2020-11-25T09:47:00Z,NHS,Vehicles / Parking,Disabled/Unlicensed on Private Property,Car Private Property,5321 N Garfield Ave,Davidson,Clay,64118.0,39.190691,-94.553688,OPEN,,N
C2020149424,2020-11-25T09:45:00Z,Health,Public Health,Services,Healthy Homes Information,444 W 12th St,Quality Hill,Jackson,64105.0,39.100621,-94.589691,RESOL,2020-11-25,N
C2020020265,2020-02-10T14:15:00Z,NHS,Trash / Recycling,Nuisance,Trash on Private Property,2930 Highland Ave,Mount Hope,Jackson,64109.0,39.072702,-94.563448,RESOL,2020-02-18,N
C2020036917,2020-03-11T13:10:00Z,Public Works,Signs,Traffic Sign,Missing - Emergency,8500 N Indiana Ave,Gashland,Clay,64156.0,35.797519,-103.890579,RESOL,2020-03-17,Y
C2019185141,2019-10-27T16:56:00Z,Water Services,Storm Water / Sewer,Sewer Referral,Restoration,5612 Wabash Ave,Blue Hills,Jackson,64130.0,39.024214,-94.556827,RESOL,2019-11-13,Y
C2020020271,2020-02-10T14:16:00Z,NHS,Property / Buildings / Construction,Property Maintenance,Other Property Issue,2928 Highland Ave,Mount Hope,Jackson,64109.0,39.072771,-94.563445,RESOL,2020-11-23,Y
C2020020274,2020-02-10T14:17:00Z,NHS,Property / Buildings / Construction,Property Maintenance,Other Property Issue,2932 Highland Ave,Mount Hope,Jackson,64109.0,39.072635,-94.563451,RESOL,2020-11-25,Y
C2019185140,2019-10-27T16:37:00Z,Water Services,Storm Water / Sewer,Sewer Backup / Leak,In A House,9830 Walnut St,Willow Creek,Jackson,64114.0,38.949209,-94.59076,RESOL,2019-10-29,N
C2019185139,2019-10-27T16:35:00Z,Water Services,Storm Water / Sewer,Sewer Backup / Leak,In A House,3923 Genessee St,Volker,Jackson,64111.0,39.056419,-94.604641,RESOL,2019-10-28,N
C2020020380,2020-02-10T15:13:00Z,Public Works,Lights / Signals,Street Light,Burning During The Day,7100 Lydia Ave,East Meyer 6,Jackson,64131.0,38.998423,-94.571056,RESOL,2020-02-12,N
C2020149435,2020-11-25T10:07:00Z,NHS,Animals / Pets,Stray,At Large - Aggressive,7919 E 117th Ter,Kirkside,Jackson,64134.0,38.909398,-94.498976,RESOL,2020-11-25,N
C2020020391,2020-02-10T15:17:00Z,Water Services,Capital Projects,Sewer,Engineering,336 Colorado Ave,South Indian Mound,Jackson,64124.0,39.109172,-94.520379,RESOL,2020-03-27,Y
C2019168678,2019-09-19T14:43:00Z,Public Works,Streets / Roadways / Alleys,Other-Maintenance,District 2,4300 College Ave,Oak Park Southeast,Jackson,64130.0,39.047802,-94.546231,RESOL,2019-10-28,Y
C2019183453,2019-10-22T19:15:00Z,Public Works,Streets / Roadways / Alleys,Markings / Paint,Crosswalk,7244 Ward Pkwy,Ward Parkway,Jackson,64114.0,38.996584,-94.603936,RESOL,2019-10-28,Y
C2020149605,2020-11-25T15:27:00Z,NHS,Trash / Recycling,Trash Collection,Missed by Contractor South,11108 Kensington Ave,Terrace Lake Gardens,Jackson,64137.0,38.923282,-94.540082,RESOL,2020-11-28,Y
C2020149604,2020-11-25T15:26:00Z,NHS,Trash / Recycling,Trash Collection,Missed by Contractor North,2302 NE 110th Ter,Shoal Creek,Clay,64155.0,39.293595,-94.550619,RESOL,2020-11-27,Y
C2019043117,2019-02-28T09:56:00Z,Public Works,Streets / Roadways / Alleys,Other-Maintenance,District 2,3252 E 29th St,Santa Fe,Jackson,64128.0,39.072671,-94.543701,RESOL,2019-10-28,Y
C2020132491,2020-10-07T08:49:00Z,NHS,Trash / Recycling,Trash Collection,Missed by Contractor South,8540 Highland Ave,Legacy East,Jackson,64131.0,38.971475,-94.56893,RESOL,2020-10-08,N
C2019185083,2019-10-26T08:57:00Z,NHS,Trash / Recycling,Dumping,Right of Way North,6800 N Mercier St,Clayton,Clay,64118.0,39.217731,-94.596224,RESOL,2020-01-08,Y
C2019185087,2019-10-26T09:40:00Z,NHS,Trash / Recycling,Trash Collection,Missed by Contractor South,638 E 66th Ter,Oak Meyer Gardens,Jackson,64131.0,39.007742,-94.579704,RESOL,2019-10-28,N
C2020037179,2020-03-11T18:07:00Z,Public Works,Signs,Traffic Sign,Damaged - Emergency,1621 Cherry St,Hospital Hill,Jackson,64108.0,39.093806,-94.575993,RESOL,2020-03-17,N
C2020132706,2020-10-07T13:30:00Z,NHS,Trash / Recycling,Trash Collection,Missed by Contractor South,11112 Grandview Rd,Terrace Lake Gardens,Jackson,64137.0,38.922797,-94.533522,RESOL,2020-10-08,N
C2020132718,2020-10-07T13:38:00Z,NHS,Trash / Recycling,Trash Collection,Missed by Contractor South,7110 Woodland Ave,East Meyer 6,Jackson,64131.0,38.998019,-94.566481,RESOL,2020-10-08,N
C2020132728,2020-10-07T13:44:00Z,NHS,Trash / Recycling,Trash Collection,Missed by City,2312 Norton Ave,East Community Team South,Jackson,64127.0,39.083212,-94.535158,RESOL,2020-10-08,N
C2020020515,2020-02-10T16:30:00Z,NHS,Animals / Pets,Stray,Confined,1208 E 89th St 3E,Legacy East,Jackson,64131.0,38.966594,-94.574048,RESOL,2020-02-10,N
C2020132734,2020-10-07T13:49:00Z,NHS,Trash / Recycling,Trash Collection,Missed by Contractor South,4312 E 110th St,Royal Oaks,Jackson,64137.0,38.926263,-94.539185,RESOL,2020-10-08,N
C2020106077,2020-08-04T12:24:00Z,Public Works,Lights / Signals,Street Light,1 Light Out,412 W 69th St,Armour Fields,Jackson,64113.0,39.003949,-94.594083,RESOL,2020-08-06,N
C2020020530,2020-02-10T16:40:00Z,Public Works,Streets / Roadways / Alleys,Pothole,District 3,5600 Lee's Summit Rd,Little Blue,Jackson,64136.0,39.01593,-94.387912,RESOL,2020-02-21,Y
C2020103436,2020-07-29T10:21:00Z,NHS,Trash / Recycling,Trash Collection,Missed by City,1330 E 12th St,Paseo West,Jackson,64106.0,39.099556,-94.565368,RESOL,2020-07-30,N
C2020020537,2020-02-10T16:46:00Z,NHS,Trash / Recycling,Bulky Pick Up,Missed Pick Up,7415 Larson Ave,Little Blue,Jackson,64133.0,38.986021,-94.436805,RESOL,2020-02-18,Y
C2020132754,2020-10-07T14:09:00Z,NHS,Trash / Recycling,Trash Collection,Missed by Contractor South,8829 Daniel Boone Rd,Santa Fe Hills,Jackson,64114.0,38.967373,-94.59268,RESOL,2020-10-08,N
C2020132758,2020-10-07T14:13:00Z,KCPD,Vehicles / Parking,Abandoned On Street,Trailer,6827 E 12th St,East Blue Valley,Jackson,64126.0,39.097014,-94.502034,RESOL,2020-10-08,N
C2019000495,2019-01-02T14:55:00Z,NHS,Vehicles / Parking,Parked on Unapproved Surface,Car Private Property,1901 Manchester Trfy,Blue Valley Industrial,Jackson,64126.0,39.086081,-94.491835,RESOL,2019-10-28,Y
C2020132761,2020-10-07T14:15:00Z,KCPD,Vehicles / Parking,Abandoned On Street,Car,1111 Ewing Ave,Sheffield,Jackson,64126.0,39.098514,-94.501917,RESOL,2020-10-08,N
C2019134253,2019-07-17T13:40:00Z,Parks and Rec,Trees,Trimming,Block Pruning,7749 E 96th St,Bannister Acres,Jackson,64134.0,38.949846,-94.499019,RESOL,2019-10-31,Y
C2020132781,2020-10-07T14:30:00Z,NHS,Trash / Recycling,Trash Collection,Missed by City,2017 Benton Blvd,Washington Wheatley,Jackson,64127.0,39.087396,-94.54929,RESOL,2020-10-08,N
C2020020546,2020-02-10T16:51:00Z,NHS,Trash / Recycling,Nuisance,Trash on Private Property,5403 Paseo,Blue Hills,Jackson,64110.0,39.028643,-94.567001,RESOL,2020-08-13,Y
C2020132755,2020-10-07T14:10:00Z,KCPD,Vehicles / Parking,Abandoned On Street,Trailer,1200 Winchester Ave,East Blue Valley,Jackson,64126.0,39.097035,-94.501169,RESOL,2020-10-12,N
C2020132757,2020-10-07T14:11:00Z,KCPD,Vehicles / Parking,Abandoned On Street,Car,1200 Winchester Ave,East Blue Valley,Jackson,64126.0,39.097035,-94.501169,RESOL,2020-10-13,Y
C2020020557,2020-02-10T16:56:00Z,NHS,Trash / Recycling,Dumping,Solid Waste Referral,5315 Highland Ave,Blue Hills,Jackson,64110.0,39.029923,-94.565136,RESOL,2020-05-18,Y
C2020132817,2020-10-07T15:10:00Z,NHS,Trash / Recycling,Trash Collection,Missed by City,4511 Indiana Ave,Oak Park Southeast,Jackson,64130.0,39.043711,-94.544648,RESOL,2020-10-08,N
C2020132827,2020-10-07T15:22:00Z,NHS,Trash / Recycling,Trash Collection,Missed by City,3409 Benton Blvd,Oak Park Northwest,Jackson,64128.0,39.063747,-94.545853,RESOL,2020-10-08,N
C2020132828,2020-10-07T15:22:00Z,NHS,Trash / Recycling,Trash Collection,Missed by City,3636 College Ave,Oak Park Northwest,Jackson,64128.0,39.059224,-94.545621,RESOL,2020-10-08,N
C2020132832,2020-10-07T15:25:00Z,NHS,Trash / Recycling,Trash Collection,Missed by City,4533 Askew Ave,Oak Park Southeast,Jackson,64130.0,39.04295,-94.542373,RESOL,2020-10-08,N
C2020132834,2020-10-07T15:27:00Z,NHS,Trash / Recycling,Trash Collection,Missed by City,4235 Benton Blvd,Oak Park Southeast,Jackson,64130.0,39.048398,-94.546657,RESOL,2020-10-08,N
C2020132842,2020-10-07T15:30:00Z,NHS,Trash / Recycling,Trash Collection,Missed by Contractor South,2117 E 77th Ter,East Meyer 7,Jackson,64132.0,38.985481,-94.562975,RESOL,2020-10-08,N
C2020132796,2020-10-07T14:43:00Z,KCPD,Vehicles / Parking,Abandoned On Street,Car,7006 E 113th Ter,Ruskin Heights,Jackson,64134.0,38.917807,-94.50865,RESOL,2020-10-13,Y
C2020149632,2020-11-25T16:12:00Z,NHS,Trash / Recycling,Trash Collection,Missed by City,2517 College Ave,Washington Wheatley,Jackson,64127.0,39.079827,-94.544114,RESOL,2020-11-27,Y
C2020037415,2020-03-12T08:15:00Z,Water Services,Storm Water / Sewer,Storm Drain / Catch Basin,Clogged / Over-Flow,5945 Ward Pkwy,Country Club District,Jackson,64113.0,39.0192,-94.601301,RESOL,2020-03-17,N
C2020020570,2020-02-10T17:13:00Z,NHS,Trash / Recycling,Landlord Set Out,Central,2737 Askew Ave,Ingleside,Jackson,64128.0,39.075288,-94.540734,RESOL,2020-03-20,Y
C2020132846,2020-10-07T15:31:00Z,NHS,Trash / Recycling,Trash Collection,Missed by City,4303 Monroe Ave,Oak Park Southeast,Jackson,64130.0,39.047508,-94.540994,RESOL,2020-10-08,N
C2020132848,2020-10-07T15:32:00Z,NHS,Trash / Recycling,Trash Collection,Missed by Contractor South,1328 E 81st St,Marlborough Heights/Marlborough Pride,Jackson,64131.0,38.981682,-94.572409,RESOL,2020-10-08,N
C2020132850,2020-10-07T15:34:00Z,NHS,Trash / Recycling,Recycling,Missed by City,3412 Benton Blvd,Oak Park Northwest,Jackson,64128.0,39.063676,-94.546684,RESOL,2020-10-08,N
C2020132854,2020-10-07T15:39:00Z,NHS,Trash / Recycling,Trash Collection,Missed by City,2309 Myrtle Ave,East Community Team South,Jackson,64127.0,39.083318,-94.535519,RESOL,2020-10-08,N
C2020132855,2020-10-07T15:39:00Z,NHS,Trash / Recycling,Trash Collection,Missed by City,3211 E 24th Ter,Washington Wheatley,Jackson,64127.0,39.081409,-94.545007,RESOL,2020-10-08,N
C2020089664,2020-06-30T08:48:00Z,NHS,Trash / Recycling,Recycling,Missed by City,5703 Michigan Ave,Blue Hills,Jackson,64130.0,39.022988,-94.563209,RESOL,2020-07-02,N
C2020088796,2020-06-26T17:28:00Z,NHS,Animals / Pets,Bite,Owned,5237 Prospect Ave A,North Town Fork Creek,Jackson,64130.0,39.030571,-94.554541,RESOL,2020-06-29,N
C2020132866,2020-10-07T15:50:00Z,NHS,Trash / Recycling,Trash Collection,Missed by City,960 W 42ND ST,Volker,Jackson,64111.0,39.05185,-94.600264,RESOL,2020-10-08,N
C2020088787,2020-06-26T17:00:00Z,Public Works,Streets / Roadways / Alleys,Pothole,District 3,11229 Calico Dr,Calico Farms,Jackson,64137.0,38.921794,-94.553572,RESOL,2020-07-15,Y
C2020089662,2020-06-30T08:47:00Z,NHS,Trash / Recycling,Dumping,Solid Waste Referral,2812 Highland Ave,Mount Hope,Jackson,64109.0,39.075163,-94.563326,RESOL,2020-07-06,N
C2020089661,2020-06-30T08:47:00Z,NHS,Trash / Recycling,Nuisance,Trash on Private Property,7226 NW M 9 Hwy,Royal Oaks North,Platte,64152.0,39.227115,-94.659248,RESOL,2020-07-02,N
C2020132878,2020-10-07T16:08:00Z,NHS,Trash / Recycling,Trash Collection,Missed by City,2817 E 37th St,Oak Park Northwest,Jackson,64128.0,39.05879,-94.550399,RESOL,2020-10-08,N
C2020090134,2020-06-30T16:40:00Z,NHS,Trash / Recycling,Trash Collection,Missed by City,606 N Wabash Ave,Northeast Industrial District,Jackson,64120.0,39.119796,-94.552748,RESOL,2020-07-02,Y
C2020132906,2020-10-07T16:31:00Z,NHS,Trash / Recycling,Trash Collection,Missed by City,3838 Bales Ave,Palestine West And Oak Park Northeast,Jackson,64128.0,39.055504,-94.543528,RESOL,2020-10-08,N
C2020090130,2020-06-30T16:37:00Z,Public Works,Streets / Roadways / Alleys,Cut / Permit,District 2,2520 Bellefontaine Ave,Washington Wheatley,Jackson,64127.0,39.079737,-94.546803,RESOL,2020-07-13,Y
C2020089856,2020-06-30T11:46:00Z,NHS,Trash / Recycling,Services,Service Issue / Problem,4218 College Ave,Oak Park Southeast,Jackson,64130.0,39.048869,-94.546169,RESOL,2020-07-02,Y
C2020089899,2020-06-30T12:47:00Z,Water Services,Water,Pipeline Referral,Curb-box / Service Line,1315 E 89th St,Legacy East,Jackson,64131.0,38.96513,-94.573616,RESOL,2020-07-02,N
C2020132952,2020-10-07T18:14:00Z,KCPD,Vehicles / Parking,Abandoned On Street,Car,341 Monroe Ave,Scarritt Point,Jackson,64124.0,39.109705,-94.537153,RESOL,2020-10-13,Y
C2020090080,2020-06-30T15:48:00Z,City Managers Office,Signs,Commercial Signs / Ads,In Right-Of-Way,12001 Wornall Rd,Mission Lake,Jackson,64145.0,38.908629,-94.592754,RESOL,2020-08-26,N
C2020088827,2020-06-27T07:11:00Z,Water Services,Storm Water / Sewer,Sewer Backup / Leak,In A House,8815 Highland Ave,Legacy East,Jackson,64131.0,38.967143,-94.568767,RESOL,2020-08-10,Y
